Fiscal Year,Agency Number,Agency Name,County,Major Spending Category,Amount
2021,101,SENATE,,SALARIES AND WAGES,7333.86
2021,101,SENATE,ATASCOSA,SALARIES AND WAGES,3222.58
2021,101,SENATE,BASTROP,SALARIES AND WAGES,640062.21
2021,101,SENATE,BELL,SALARIES AND WAGES,78633.9
2021,101,SENATE,BEXAR,SALARIES AND WAGES,767917.57
2021,101,SENATE,BRAZORIA,SALARIES AND WAGES,153521.51
2021,101,SENATE,BURNET,SALARIES AND WAGES,110211.55
2021,101,SENATE,CALDWELL,SALARIES AND WAGES,77734.07
2021,101,SENATE,CAMERON,SALARIES AND WAGES,321781.64
2021,101,SENATE,CHEROKEE,SALARIES AND WAGES,59360
2021,101,SENATE,CHILDRESS,SALARIES AND WAGES,50400.04
2021,101,SENATE,COLLIN,SALARIES AND WAGES,175999.66
2021,101,SENATE,COLORADO,SALARIES AND WAGES,4490.91
2021,101,SENATE,COMAL,SALARIES AND WAGES,553414.94
2021,101,SENATE,COOKE,SALARIES AND WAGES,21414.29
2021,101,SENATE,CORYELL,SALARIES AND WAGES,49382.86
2021,101,SENATE,DALLAS,SALARIES AND WAGES,500064.45
2021,101,SENATE,DENTON,SALARIES AND WAGES,192592.34
2021,101,SENATE,EL PASO,SALARIES AND WAGES,270608.05
2021,101,SENATE,FANNIN,SALARIES AND WAGES,34261.37
2021,101,SENATE,FORT BEND,SALARIES AND WAGES,168053.5
2021,101,SENATE,GALVESTON,SALARIES AND WAGES,35926.21
2021,101,SENATE,GRAYSON,SALARIES AND WAGES,64180.93
2021,101,SENATE,GUADALUPE,SALARIES AND WAGES,253902.13
2021,101,SENATE,HARRIS,SALARIES AND WAGES,1097658.28
2021,101,SENATE,HARRISON,SALARIES AND WAGES,68598.33
2021,101,SENATE,HAYS,SALARIES AND WAGES,1310805.86
2021,101,SENATE,HIDALGO,SALARIES AND WAGES,206726.96
2021,101,SENATE,HOOD,SALARIES AND WAGES,7200
2021,101,SENATE,HOWARD,SALARIES AND WAGES,25600
2021,101,SENATE,JOHNSON,SALARIES AND WAGES,7200
2021,101,SENATE,KAUFMAN,SALARIES AND WAGES,6666.67
2021,101,SENATE,KERR,SALARIES AND WAGES,12440
2021,101,SENATE,LEE,SALARIES AND WAGES,57280.08
2021,101,SENATE,LLANO,SALARIES AND WAGES,1000
2021,101,SENATE,LUBBOCK,SALARIES AND WAGES,71960.28
2021,101,SENATE,MAVERICK,SALARIES AND WAGES,13285.71
2021,101,SENATE,MCLENNAN,SALARIES AND WAGES,57960
2021,101,SENATE,MIDLAND,SALARIES AND WAGES,64580.95
2021,101,SENATE,MILAM,SALARIES AND WAGES,50512.73
2021,101,SENATE,MONTGOMERY,SALARIES AND WAGES,76158.57
2021,101,SENATE,NUECES,SALARIES AND WAGES,32925.48
2021,101,SENATE,ORANGE,SALARIES AND WAGES,44120
2021,101,SENATE,PARKER,SALARIES AND WAGES,97366.63
2021,101,SENATE,PECOS,SALARIES AND WAGES,25435.71
2021,101,SENATE,RANDALL,SALARIES AND WAGES,88240
2021,101,SENATE,ROCKWALL,SALARIES AND WAGES,66240
2021,101,SENATE,RUSK,SALARIES AND WAGES,98754
2021,101,SENATE,SAN AUGUSTINE,SALARIES AND WAGES,75840
2021,101,SENATE,SAN PATRICIO,SALARIES AND WAGES,41078
2021,101,SENATE,SMITH,SALARIES AND WAGES,46240
2021,101,SENATE,TARRANT,SALARIES AND WAGES,323389.96
2021,101,SENATE,TAYLOR,SALARIES AND WAGES,20440
2021,101,SENATE,TOM GREEN,SALARIES AND WAGES,43440
2021,101,SENATE,TRAVIS,SALARIES AND WAGES,19736767.84
2021,101,SENATE,VAL VERDE,SALARIES AND WAGES,24805.71
2021,101,SENATE,VAN ZANDT,SALARIES AND WAGES,43485.71
2021,101,SENATE,VICTORIA,SALARIES AND WAGES,30000
2021,101,SENATE,WALKER,SALARIES AND WAGES,29511.36
2021,101,SENATE,WASHINGTON,SALARIES AND WAGES,215730
2021,101,SENATE,WEBB,SALARIES AND WAGES,86767.33
2021,101,SENATE,WICHITA,SALARIES AND WAGES,24394.46
2021,101,SENATE,WILLACY,SALARIES AND WAGES,37320
2021,101,SENATE,WILLIAMSON,SALARIES AND WAGES,2350329.92
2021,101,SENATE,WOOD,SALARIES AND WAGES,40749
2021,101,SENATE,,EMPLOYEE BENEFITS,2190.09
2021,101,SENATE,ATASCOSA,EMPLOYEE BENEFITS,962.35
2021,101,SENATE,BASTROP,EMPLOYEE BENEFITS,191140.31
2021,101,SENATE,BELL,EMPLOYEE BENEFITS,23482.26
2021,101,SENATE,BEXAR,EMPLOYEE BENEFITS,229321.46
2021,101,SENATE,BRAZORIA,EMPLOYEE BENEFITS,45845.78
2021,101,SENATE,BURNET,EMPLOYEE BENEFITS,32912.22
2021,101,SENATE,CALDWELL,EMPLOYEE BENEFITS,23213.55
2021,101,SENATE,CAMERON,EMPLOYEE BENEFITS,96092.91
2021,101,SENATE,CHEROKEE,EMPLOYEE BENEFITS,17726.54
2021,101,SENATE,CHILDRESS,EMPLOYEE BENEFITS,15050.85
2021,101,SENATE,COLLIN,EMPLOYEE BENEFITS,52558.37
2021,101,SENATE,COLORADO,EMPLOYEE BENEFITS,1341.11
2021,101,SENATE,COMAL,EMPLOYEE BENEFITS,165265.03
2021,101,SENATE,COOKE,EMPLOYEE BENEFITS,6394.9
2021,101,SENATE,CORYELL,EMPLOYEE BENEFITS,14747.09
2021,101,SENATE,DALLAS,EMPLOYEE BENEFITS,149333.1
