ID,Name,Description,Created,Updated,Link
naix-2893,Mixed Beverage Gross Receipts,"This file contains a list of taxpayers required to report mixed beverage gross receipts tax reports under Tax Code Chapter 183, Subchapter B. The list provides taxpayer names, amounts reported, and other public information. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies",2017-06-12T18:53:34.000Z,2025-02-22T14:04:51.000Z,https://data.texas.gov/dataset/Mixed-Beverage-Gross-Receipts/naix-2893
48ag-x9aa,Texas Counties Map,Map of counties in Texas.,2014-05-08T19:56:25.000Z,2023-12-19T19:11:15.000Z,https://data.texas.gov/dataset/Texas-Counties-Map/48ag-x9aa
9qfg-xwsm,Texas Comptroller of Public Accounts,,2018-07-25T18:11:21.000Z,2020-05-26T15:31:30.949Z,https://data.texas.gov/stories/s/9qfg-xwsm
qwhc-yxgg,Credit Law Delinquent List,,2020-08-07T12:17:03.000Z,2024-04-27T17:58:48.065Z,https://data.texas.gov/stories/s/qwhc-yxgg
nze5-dppu,Texas Department of Transportation Traffic Safety Data Portal,See statewide data and traffic safety categories data.,2021-10-21T20:37:27.000Z,2024-09-03T15:00:47.217Z,https://data.texas.gov/stories/s/nze5-dppu
kxv3-diwf,"Insurance agents, adjusters, and people approved to manage insurance-related products or claims","The Texas Department of Insurance TDI is responsible for licensing, registering, certifying, and regulating people who sell insurance or adjust property and casualty claims in Texas. This data set includes a row for each license held by a person. A person with more than one license will be listed in multiple rows. To view the list of agencies and business licensed by TDI, go to the Insurance agencies data set. To learn more about the type of licenses in this data set, go to TDIs agent and adjuster licensing webpage. For detailed search results on individual agencies, agents, and adjusters please click here Detailed reports.",2021-09-22T17:48:45.000Z,2025-02-24T06:32:00.000Z,https://data.texas.gov/dataset/Insurance-agents-adjusters-and-people-approved-to-/kxv3-diwf
jrea-zgmq,Active Sales Tax Permit Holders,"This file contains a list of taxpayers who hold an active sales tax permit under Tax Code Chapter 151, Subchapter F. The file includes taxpayer and outlet information. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies",2017-06-09T16:43:23.000Z,2025-02-23T05:01:58.000Z,https://data.texas.gov/Government-and-Taxes/Active-Sales-Tax-Permit-Holders/jrea-zgmq
8w53-c4f6,Worker Adjustment and Retraining Notification (WARN) Notices,"This report lists current calendar year Texas plant closure and layoff notices issued under the Worker Adjustment and Retraining Notification WARN Act. Under certain circumstances, the WARN Act requires employers to provide notice 60 days in advance of plant closures or mass layoffs. The WARN Act is intended to offer protection to workers, their families and communities.",2022-02-09T23:13:46.000Z,2025-02-13T18:56:35.000Z,https://data.texas.gov/dataset/Worker-Adjustment-and-Retraining-Notification-WARN/8w53-c4f6
4uks-rvt8,Agriculture and Timber Exemption Registrations,The information in this file is a result of HB 268 requiring registration for Sales Tax exemption regarding qualifying Agriculture and Timber purchases. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies,2016-12-21T14:03:47.000Z,2025-02-24T07:55:36.000Z,https://data.texas.gov/dataset/Agriculture-and-Timber-Exemption-Registrations/4uks-rvt8
7358-krk7,TDLR - All Licenses,A listing of all TDLR license holders from httpswww.tdlr.texas.govLicenseSearch.,2014-08-01T19:42:21.000Z,2024-10-21T22:52:12.000Z,https://data.texas.gov/dataset/TDLR-All-Licenses/7358-krk7
sii2-2y7f,Welcome to the Texas Open Data Portal,,2021-11-02T20:33:57.000Z,2023-04-24T13:28:46.853Z,https://data.texas.gov/stories/s/sii2-2y7f
cuc7-ywmd,CapMetro Vehicle Positions JSON File,This dataset was switched to a new source on 562021. There may be some schema differences. Capital Metro Vehicle positions in JSON format updated every 15 seconds.,2015-09-18T14:09:02.000Z,2025-02-25T04:23:16.000Z,https://data.texas.gov/dataset/CapMetro-Vehicle-Positions-JSON-File/cuc7-ywmd
3wup-mcbk,Texas Bond Review Board,,2017-09-29T15:19:29.000Z,2023-12-07T21:38:15.299Z,https://data.texas.gov/stories/s/3wup-mcbk
e2dm-5r4v,TDA Data Overview - School Nutrition Programs,Overview of school nutrition program data available on the Texas Open Data Portal from Texas Department of Agriculture,2019-01-29T19:49:19.000Z,2025-01-24T05:43:59.825Z,https://data.texas.gov/stories/s/e2dm-5r4v
2cjh-3vae,Approved Product Label Search,"Product Labels approved by TABC before Sept 1, 2021. Learn more about this data and how to search it at httpswww.tabc.texas.govpublic-informationapproved-labels-search.",2022-09-14T14:17:12.000Z,2022-09-15T17:54:10.000Z,https://data.texas.gov/dataset/Approved-Product-Label-Search/2cjh-3vae
c4xz-httr,Workers' compensation insurance coverage subscriber information,"The Texas Department of Insurance, Division of Workers Compensation DWC publishes a quarterly report of employers with active Texas workers compensation insurance coverage. Employers with coverage are called subscribers. Texas does not require most private employers to have workers compensation insurance coverage. Insurance carriers report coverage data to DWC using the International Association of Industrial Accident Boards and Commissions IAIABC IAIABC Proof of Coverage POC Release 2.1 electronic data interchange EDI standard. The National Council on Workers Compensation Insurance NCCI collects the POC data for DWC. POC filings are the source of this data set. Visit the DWC Employer Coverage Page for more information.",2022-03-17T21:19:43.000Z,2025-02-06T07:26:23.000Z,https://data.texas.gov/dataset/Workers-compensation-insurance-coverage-subscriber/c4xz-httr
ubdr-4uff,Insurance complaints: All data,"The Texas Department of Insurance TDI handles complaints against people and organizations licensed by TDI, such as companies, agents, and adjusters. To learn more, go to the TDI webpage, How to get help with an insurance issue or file a complaint.nbsp  This dataset includes a row for each person and organization named in a complaint. This means some complaint numbers are listed multiple times. To view a dataset that lists each complaint number once due to removing the Complaint filed against column, use TDI Complaints One Record  Complaint.",2021-04-16T15:48:39.000Z,2025-02-24T06:27:41.000Z,https://data.texas.gov/dataset/Insurance-complaints-All-data/ubdr-4uff
daek-f7x4,Bid Book Spreadsheet 2016,"The submitting agency SHALL be responsible for ensuring the accuracy of the bid document postings, closing time, delivery of bid, evaluation, awards and any other procurement documentation. The agency shall not waive any state or federal law or agencys requirements on purchases.",2016-02-05T19:11:28.000Z,2022-07-11T15:08:26.000Z,https://data.texas.gov/dataset/Bid-Book-Spreadsheet-2016/daek-f7x4
3un9-h9it,Texas Unclaimed Property Listing,"To access the Texas Unclaimed Property dataset, please send a request to up.dbrequestscpa.texas.gov. With each request, please provide your name, company name, mailing address, phone number and Texas Private Investigators license number if applicable. PLEASE NOTE You can search our dataset at ClaimItTexas.org",2017-11-14T16:34:39.000Z,2021-11-12T16:17:37.000Z,https://data.texas.gov/Government-and-Taxes/Texas-Unclaimed-Property-Listing/3un9-h9it
9cir-efmm,Active Franchise Tax Permit Holders,"This file contains a list of active taxpayers set up for franchise tax under Tax Code Chapter 171. The file includes taxpayer name, address, and other public business information. See httpscomptroller.texas.govaboutpoliciesprivacy.php for more information on our agencys privacy and security policies",2017-06-09T16:06:13.000Z,2025-02-22T14:02:22.000Z,https://data.texas.gov/dataset/Active-Franchise-Tax-Permit-Holders/9cir-efmm
54pj-3dxy,Winners List of Texas Lottery® Prizes,"List of winner claims for Texas Lottery prizes with player excluding identity of those designated anonymous, prize, game and selling retailer information. GOVT  466.411 A prize winner, or owner of a legal entity that is a prize winner, of a lottery prize in an amount equal to 1 million or more may choose to remain anonymous. If the prize is an annuity, then the prize winner may be anonymous for 30 days after the prize is claimed.",2022-02-04T00:02:19.000Z,2025-02-18T18:08:28.000Z,https://data.texas.gov/dataset/Winners-List-of-Texas-Lottery-Prizes/54pj-3dxy
w64c-ndf7,OFFICIAL DIR Cooperative Contract Sales Data   Fiscal 2010 To Present,"Optimized version of DIR Cooperative Contract Sales Data Fiscal 2010 To Present. This dataset was made active 09072018 and include data going back to 2010 within the dataset. For a complete dataset history of downloads, visits, rows and columns refer to ARCHIVE DIR Cooperative Contract Sales Data Fiscal 2010 for a complete history of statistics regarding the dataset downloads, visits, rows, etc.",2018-07-30T17:03:27.000Z,2025-02-05T17:52:15.000Z,https://data.texas.gov/dataset/OFFICIAL-DIR-Cooperative-Contract-Sales-Data-Fisca/w64c-ndf7
uhvc-ynxd,TxRC Rulings,Texas Racing Commission Rulings,2016-03-11T18:41:30.000Z,2022-02-24T21:08:50.000Z,https://data.texas.gov/Permits-and-Licensing/TxRC-Rulings/uhvc-ynxd
v63e-6dss,CPI 3.8 Abuse/Neglect Investigations - Alleged and Confirmed Victims By County FY2015-FY2024,"This chart counts victims in completed investigations. Completed investigations only include those cases conducted as a traditional investigation that were not administratively closed or merged into another stage. An investigation can only be administratively closed if all allegations have a disposition of administrative closure. A completed investigation can include more than one alleged victim. Completed investigations do not include any Alternative Response stages. A confirmed victim on a completed investigation is a child who is a victim on at least one allegation with a disposition of reason to believe. An unconfirmed victim on a completed investigation is a child who was an alleged victim on at least one allegation with a disposition of unable to complete, unable to determine or ruled out. A description of Alternative Response and how it differs from a traditional investigation and the definitions of the different dispositions in a traditional investigation are in the glossary. Visit dfps.texas.gov for information on CPS AbuseNeglect Investigations and all DFPS programs.",2017-03-16T18:35:00.000Z,2025-01-29T20:44:10.000Z,https://data.texas.gov/dataset/CPI-3-8-Abuse-Neglect-Investigations-Alleged-and-C/v63e-6dss
dvwk-533c,Texas Department of Transportation Traffic Safety Data Portal: Statewide,See statewide traffic fatality trending data and statewide maps data.,2021-10-21T20:20:53.000Z,2024-09-03T15:02:19.843Z,https://data.texas.gov/stories/s/dvwk-533c
azae-8krr,Workers' compensation non-subscriber employer information,"The Texas Department of Insurance, Division of Workers Compensation DWC publishes a monthly report of private employers that have opted out of Texas workers compensation insurance coverage non-subscribers. Texas does not require most private employers to have workers compensation insurance coverage. Non-subscribers are required to file the DWC Form-005, Employers Notice of No Coverage or Termination of Coverage annually. The DWC Form-005 is the source of this data set.",2022-03-17T18:46:43.000Z,2025-02-06T07:12:09.000Z,https://data.texas.gov/dataset/Workers-compensation-non-subscriber-employer-infor/azae-8krr
